trade_id,trade_date,trader,desk,product_type,counterparty,buy_sell,quantity,price,notional_value,trade_status,amendment_flag,cancellation_flag,booking_datetime,amendment_datetime,settlement_date
T00001,2026-01-01 00:00:00,Heather Garrett,Commodities,Swap,Crawford-Garrett,Buy,8,437897.82,3503182.56,Booked,False,False,2026-01-01 07:22:00,,2026-01-05 00:00:00
T00002,2026-01-01 00:00:00,Heather Garrett,Commodities,Option,Chang-Peterson,Sell,3284,373.67,1227132.28,Booked,False,False,2026-01-01 10:08:00,,2026-01-02 00:00:00
T00003,2026-01-01 00:00:00,Kevin Gutierrez,Equities,Option,Ellis Group,Buy,590,741.71,437608.9,Cancelled,True,True,2026-01-01 10:13:00,2026-01-01 18:34:00,2026-01-02 00:00:00
T00004,2026-01-01 00:00:00,Pamela Hahn,FX,FX Forward,Mclaughlin PLC,Sell,2136554,0.9222,1970330.1,Amended,True,False,2026-01-01 11:53:00,2026-01-01 17:39:00,2026-01-30 00:00:00
T00005,2026-01-01 00:00:00,Courtney Wagner,Equities,Equity,Chang-Peterson,Buy,536,403.7,216383.2,Booked,False,False,2026-01-01 12:10:00,,2026-01-02 00:00:00
T00006,2026-01-01 00:00:00,Natalie Castillo,Rates,Bond,Fernandez-Ferguson,Buy,20933,98.368,2059137.34,Booked,False,False,2026-01-01 12:17:00,,2026-01-02 00:00:00
T00007,2026-01-01 00:00:00,Joshua Wilson,Commodities,Swap,Morales-Woodard,Sell,10,554362.59,5543625.9,Booked,False,False,2026-01-01 12:48:00,,2026-01-05 00:00:00
T00008,2026-01-01 00:00:00,Courtney Wagner,Equities,Option,Chang-Peterson,Sell,1498,336.32,503807.36,Amended,True,False,2026-01-01 13:07:00,2026-01-01 13:45:00,2026-01-02 00:00:00
T00009,2026-01-01 00:00:00,Tracy Hayes,Rates,Bond,Crawford-Garrett,Sell,15604,96.01,1498140.04,Cancelled,True,True,2026-01-01 13:18:00,2026-01-13 19:21:00,2026-01-02 00:00:00
T00010,2026-01-01 00:00:00,David Williams,Equities,Equity,Chang-Peterson,Buy,9412,29.28,275583.36,Booked,False,False,2026-01-01 13:35:00,,2026-01-02 00:00:00
